specimen_source_value	assay_occurrence_id	assay_start_date	assay_source_value	assay_type_source_value
GSM1484803	100101	4:00:00	ATAC	Sequencing
GSM1484802	100102	4:00:00	ATAC	Sequencing
GSM1484801	100103	2:00:00	ATAC	Sequencing
GSM1484800	100104	2:00:00	ATAC	Sequencing
GSM1484799	100105	1:00:00	ATAC	Sequencing
GSM1484798	100106	1:00:00	ATAC	Sequencing
GSM1484797	100107	0:00:00	ATAC	Sequencing
GSM1484796	100108	0:00:00	ATAC	Sequencing
GSM1484795	100109	39 0:00:00	ATAC	Sequencing
GSM1484794	100110	38 0:00:00	ATAC	Sequencing
GSM1484793	100111	38 0:00:00	ATAC	Sequencing
GSM1484792	100112	37 0:00:00	ATAC	Sequencing
GSM1484791	100113	37 0:00:00	ATAC	Sequencing
GSM1484790	100114	224 0:00:00	ATAC	Sequencing
GSM1484789	100115	224 0:00:00	ATAC	Sequencing
GSM1484788	100116	2 0:00:00	ATAC	Sequencing
GSM1484787	100117	2 0:00:00	ATAC	Sequencing
GSM1484786	100118	1 0:00:00	ATAC	Sequencing
GSM1484785	100119	1 0:00:00	ATAC	Sequencing
GSM1484784	100120	4:00:00	ATAC	Sequencing
GSM1484783	100121	4:00:00	ATAC	Sequencing
GSM1484806	100122	38 0:00:00	ATAC	Sequencing
GSM1484805	100123	224 0:00:00	ATAC	Sequencing
GSM1484804	100124	224 0:00:00	ATAC	Sequencing
GSM1484808	100125		ATAC	Sequencing
GSM1484807	100126		ATAC	Sequencing
GSM1484812	100127		ATAC	Sequencing
GSM1484811	100128		ATAC	Sequencing
GSM1484810	100129		ATAC	Sequencing
GSM1484813	100130		ATAC	Sequencing
GSM1484809	100131		ATAC	Sequencing
GSM1484816	100132	37 0:00:00	ATAC	Sequencing
GSM1484815	100133	224 0:00:00	ATAC	Sequencing
GSM1484814	100134	224 0:00:00	ATAC	Sequencing
GSM1484820	100135		ATAC	Sequencing
GSM1484819	100136		ATAC	Sequencing
GSM1484818	100137		ATAC	Sequencing
GSM1484817	100138		ATAC	Sequencing
GSM1484821	100139	37 0:00:00	ATAC	Sequencing
GSM1484840	100140	192 0:00:00	ATAC	Sequencing
GSM1484839	100141	192 0:00:00	ATAC	Sequencing
GSM1484823	100142	224 0:00:00	ATAC	Sequencing
GSM1484822	100143	224 0:00:00	ATAC	Sequencing
GSM1484825	100144	224 0:00:00	ATAC	Sequencing
GSM1484824	100145	224 0:00:00	ATAC	Sequencing
GSM1484830	100146	37 0:00:00	ATAC	Sequencing
GSM1484829	100147	224 0:00:00	ATAC	Sequencing
GSM1484828	100148	224 0:00:00	ATAC	Sequencing
GSM1484827	100149	107 0:00:00	ATAC	Sequencing
GSM1484826	100150	107 0:00:00	ATAC	Sequencing
GSM1484834	100151		ATAC	Sequencing
GSM1484833	100152		ATAC	Sequencing
GSM1484832	100153		ATAC	Sequencing
GSM1484831	100154		ATAC	Sequencing
GSM1484835	100155	38 0:00:00	ATAC	Sequencing
GSM1484836	100156	38 0:00:00	ATAC	Sequencing
GSM1484837	100157	38 0:00:00	ATAC	Sequencing
GSM1484838	100158	38 0:00:00	ATAC	Sequencing
