source_id	source_name	source_value	person_id
S1	GEO	GSE60682	P1
S1	GEO	GSE60682	P2
S1	GEO	GSE60682	P3
S1	GEO	GSE60682	P4
S1	GEO	GSE60682	P5
S1	GEO	GSE60682	P6
S1	GEO	GSE60682	P7
S1	GEO	GSE60682	P8
S1	GEO	GSE60682	P9
S1	GEO	GSE60682	P10
S1	GEO	GSE60682	P11
S1	GEO	GSE60682	P12
S1	GEO	GSE60682	P13
S1	GEO	GSE60682	P14
S1	GEO	GSE60682	P15
S1	GEO	GSE60682	P16
S1	GEO	GSE60682	P17
S1	GEO	GSE60682	P18
S1	GEO	GSE60682	P19
S1	GEO	GSE60682	P20
S1	GEO	GSE60682	P21
S1	GEO	GSE60682	P22
S1	GEO	GSE60682	P23
S1	GEO	GSE60682	P24
S1	GEO	GSE60682	P25
S1	GEO	GSE60682	P26
S1	GEO	GSE60682	P27
S1	GEO	GSE60682	P28
S1	GEO	GSE60682	P29
S1	GEO	GSE60682	P30
S1	GEO	GSE60682	P31
S1	GEO	GSE60682	P32
S1	GEO	GSE60682	P33
S1	GEO	GSE60682	P34
S1	GEO	GSE60682	P35
S1	GEO	GSE60682	P36
S1	GEO	GSE60682	P37
S1	GEO	GSE60682	P38
S1	GEO	GSE60682	P39
S1	GEO	GSE60682	P40
S1	GEO	GSE60682	P41
S1	GEO	GSE60682	P42
S1	GEO	GSE60682	P43
S1	GEO	GSE60682	P44
S1	GEO	GSE60682	P45
S1	GEO	GSE60682	P46
S1	GEO	GSE60682	P47
S1	GEO	GSE60682	P48
S1	GEO	GSE60682	P49
S1	GEO	GSE60682	P50
S1	GEO	GSE60682	P51
S1	GEO	GSE60682	P52
S1	GEO	GSE60682	P53
S1	GEO	GSE60682	P54
S1	GEO	GSE60682	P55
S1	GEO	GSE60682	P56
S1	GEO	GSE60682	P57
S1	GEO	GSE60682	P58
